"Outcome","Feature","Coefficient_Pre","Coefficient_Post","Coefficient_Overall"
"bp_control_accaha","bp_cat_meds_excluded_SBPof120to130andDBP80mmHg",0,0,0
"bp_control_accaha","bp_cat_meds_excluded_SBPof120to130andDBP80mmHg",0,1.90290829962359,1.71885290490393
"bp_control_accaha","bp_cat_meds_excluded_SBPof120to130andDBP80mmHg",0,0,0
"bp_control_accaha","bp_cat_meds_excluded_SBPof140to160orDBP90to100mmHg",0,0,0
"bp_control_accaha","bp_cat_meds_excluded_SBPof140to160orDBP90to100mmHg",0,0,0
"bp_control_accaha","bp_cat_meds_excluded_SBPof140to160orDBP90to100mmHg",0,0,0
"bp_control_accaha","bp_cat_meds_excluded_SBPof140to160orDBP90to100mmHg",0,-0.690061860554509,-0.598418715819258
"bp_control_accaha","bp_cat_meds_excluded_SBPof140to160orDBP90to100mmHg",0,0.0265474266709345,0.238426207307639
"bp_control_accaha","bp_cat_meds_excluded_SBPof140to160orDBP90to100mmHg",21.910239317049,21.1184725279636,23.7541933080854
"bp_control_accaha","bp_cat_meds_excluded_SBPof140to160orDBP90to100mmHg",23.1270508178952,23.6059630306021,25.3734615570161
"bp_control_accaha","bp_cat_meds_excluded_SBPof140to160orDBP90to100mmHg",0,0,0
"bp_control_accaha","bp_cat_meds_excluded_SBPof140to160orDBP90to100mmHg",-0.107229079292087,0,-0.0820415416643394
"bp_control_accaha","bp_cat_meds_excluded_SBPof140to160orDBP90to100mmHg",0,0,0
"bp_control_accaha","bp_med_recommended_accaha_No",0,0,0
"bp_control_accaha","bp_med_recommended_accaha_No",0,0,0
"bp_control_accaha","bp_med_recommended_accaha_No",0,0,0
"bp_control_accaha","bp_med_recommended_accaha_No",0,0,0
"bp_control_accaha","bp_med_recommended_accaha_No",0,0,0
"bp_control_accaha","bp_med_recommended_accaha_No",0,0.620906848389346,0.807954722212304
"bp_control_accaha","bp_med_recommended_accaha_No",0,-9.3280773741291e-17,0
"bp_control_accaha","bp_med_recommended_accaha_No",0,3.1093591247097e-17,0
"bp_control_accaha","bp_med_recommended_accaha_No",0,0,0
"bp_control_accaha","bp_med_recommended_accaha_No",0,0,0
"bp_control_accaha","bp_med_recommended_accaha_Yes",6.40051639201397,5.15331323847087,7.39954873364397
"bp_control_accaha","bp_med_recommended_accaha_Yes",-0.0790101360170009,0,-5.3316461869338e-15
"bp_control_accaha","bp_med_recommended_accaha_Yes",0,0,0
"bp_control_accaha","bp_med_recommended_accaha_Yes",0.24265257366059,0,0
"bp_control_accaha","bp_med_recommended_accaha_Yes",0,0,0
"bp_control_accaha","bp_med_recommended_accaha_Yes",0,0,0
"bp_control_accaha","bp_med_recommended_accaha_Yes",0,0,0
"bp_control_accaha","bp_med_recommended_accaha_Yes",0,0,0
"bp_control_accaha","bp_med_recommended_accaha_Yes",0,1.01841617036552,0.290614079993924
"bp_control_accaha","bp_med_recommended_accaha_Yes",0,0,0
"bp_control_accaha","bp_med_n_class_One",0,0,0
"bp_control_accaha","bp_med_n_class_One",0,0,0
"bp_control_accaha","bp_med_n_class_One",0,0,0
"bp_control_accaha","bp_med_n_class_One",0,0,0
"bp_control_accaha","bp_med_n_class_One",0,0,0
"bp_control_accaha","bp_med_n_class_One",0,0,0
"bp_control_accaha","bp_med_n_class_One",0,0.0337945178216519,0.0189006464867774
"bp_control_accaha","bp_med_n_class_One",0,-2.37450122766089e-15,-0.00011137170471764
"bp_control_accaha","bp_med_n_class_One",0,0,-0.360378782290002
"bp_control_accaha","bp_med_n_class_One",0,0,0.00399516077108711
"bp_control_accaha","bp_med_diur_thz_No",0,0,0
"bp_control_accaha","bp_med_diur_thz_No",0,0,0
"bp_control_accaha","bp_med_diur_thz_No",0,-0.479720171731625,-0.15454897379143
"bp_control_accaha","bp_med_diur_thz_No",0,0.000527279903768041,3.6050218097986e-15
"bp_control_accaha","bp_med_diur_thz_No",0,0,0
"bp_control_accaha","bp_med_diur_thz_No",0,0,0
"bp_control_accaha","bp_med_diur_thz_No",0,0,0
"bp_control_accaha","bp_med_diur_thz_No",0,0,0
"bp_control_accaha","bp_med_diur_thz_No",0,0,0
"bp_control_accaha","bp_med_diur_thz_No",0,0,0
"bp_control_accaha","htn_resistant_accaha_No",0,0,-0.063115894007591
"bp_control_accaha","htn_resistant_accaha_No",0,0,0.0224016277858649
"bp_control_accaha","htn_resistant_accaha_No",0,0.723766788881116,0
"bp_control_accaha","htn_resistant_accaha_No",0,-7.25945412404719e-14,0
"bp_control_accaha","htn_resistant_accaha_No",0,0,0
"bp_control_accaha","htn_resistant_accaha_No",0,0,0
"bp_control_accaha","htn_resistant_accaha_No",0,-1.76693746932151,-0.121649218381083
"bp_control_accaha","htn_resistant_accaha_No",0,3.64441414495822e-15,1.46624762610627e-15
"bp_control_accaha","htn_resistant_accaha_No",-0.725794252455488,0,0
"bp_control_accaha","htn_resistant_accaha_No",0,0,0
"bp_control_accaha","htn_resistant_accaha_Yes",0,0,0
"bp_control_accaha","htn_resistant_accaha_Yes",0,0,0
"bp_control_accaha","htn_resistant_accaha_Yes",-16.601903505036,-19.4098234554809,-21.0978207588451
"bp_control_accaha","htn_resistant_accaha_Yes",0,0,0
"bp_control_accaha","htn_resistant_accaha_Yes",-0.195732694921765,-2.11941048231822,-1.22818811396145
"bp_control_accaha","htn_resistant_accaha_Yes",0,0.323807457700517,0.036801768600784
"bp_control_accaha","htn_resistant_accaha_Yes",0,0.289257998009685,0.168141868390436
"bp_control_accaha","htn_resistant_accaha_Yes",0,0,0
"bp_control_accaha","htn_resistant_accaha_Yes",0,0,0.303595963770159
"bp_control_accaha","htn_resistant_accaha_Yes",0.138816271979639,-0.0991852187200942,0
"bp_control_accaha","cc_ckd_No",0,0,0
"bp_control_accaha","cc_ckd_No",0,0,0
"bp_control_accaha","cc_ckd_No",0,0,0
"bp_control_accaha","cc_ckd_No",0,0,0
"bp_control_accaha","cc_ckd_No",0.440574598072585,0,0
"bp_control_accaha","cc_ckd_No",-0.157275857528995,0,0
"bp_control_accaha","cc_ckd_No",0,-0.0706889769978944,-0.197397077733239
"bp_control_accaha","cc_ckd_No",0,-0.00709260051889816,0
"bp_control_accaha","cc_ckd_No",0,0,0
"bp_control_accaha","cc_ckd_No",-0.356115455348554,0,-0.0875900712019736
"bp_control_accaha","cc_ckd_Yes",0,0,0
"bp_control_accaha","cc_ckd_Yes",-0.00851994493841902,-0.0110502628147903,0
"bp_control_accaha","cc_ckd_Yes",0.00357713517912092,0,0.0859823341612962
"bp_control_accaha","cc_ckd_Yes",-2.06414219907088,0,-0.86796634435685
"bp_control_accaha","cc_ckd_Yes",0.0575378969027545,0.185650466419682,0.263377544392871
"bp_control_accaha","cc_ckd_Yes",0,-2.44899331819213,-0.904543266532824
"bp_control_accaha","cc_ckd_Yes",0,0,0
"bp_control_accaha","cc_ckd_Yes",0,0,0
"bp_control_accaha","cc_ckd_Yes",0,0.059719958170579,0
"bp_control_accaha","cc_ckd_Yes",0,0,0
"bp_control_accaha","DSD010AN_1",0,0,0
"bp_control_accaha","DSD010AN_1",-0.0898788143974149,-0.0265194266968889,-0.103160680845583
"bp_control_accaha","DSD010AN_1",0,0,0
"bp_control_accaha","DSD010AN_1",0,0,0
"bp_control_accaha","DSD010AN_1",0.0106462414320376,0,0
"bp_control_accaha","DSD010AN_1",0,0,-0.0326471705998551
"bp_control_accaha","DSD010AN_1",0,0,0
"bp_control_accaha","DSD010AN_1",0,-0.109321989753501,0
"bp_control_accaha","DSD010AN_1",0,0,0
"bp_control_accaha","DSD010AN_1",0,0,0
"bp_control_accaha","LBXHA_1",0,0,0
"bp_control_accaha","LBXHA_1",0,0,0
"bp_control_accaha","LBXHA_1",0,0,0
"bp_control_accaha","LBXHA_1",0,0,0
"bp_control_accaha","LBXHA_1",0,0,0
"bp_control_accaha","LBXHA_1",0.044362884678645,0,-0.1261345257774
"bp_control_accaha","LBXHA_1",0,0,0
"bp_control_accaha","LBXHA_1",0,0,0
"bp_control_accaha","LBXHA_1",0,-0.160786984856429,0
"bp_control_accaha","LBXHA_1",0,0,0
"bp_control_accaha","LBXHA_2",0,0,0
"bp_control_accaha","LBXHA_2",-0.137004548621185,0,0
"bp_control_accaha","LBXHA_2",0,0,0
"bp_control_accaha","LBXHA_2",0.275102483967376,0,0.188905284335032
"bp_control_accaha","LBXHA_2",0,0,0
"bp_control_accaha","LBXHA_2",0,0,0
"bp_control_accaha","LBXHA_2",0,0,0
"bp_control_accaha","LBXHA_2",0,0,0
"bp_control_accaha","LBXHA_2",0,0.275828082181961,0.15232781165501
"bp_control_accaha","LBXHA_2",0,0,0
"bp_control_accaha","BPQ030_2",0,0,0
"bp_control_accaha","BPQ030_2",-0.362061329343269,-0.423936175913781,-0.299486116461593
"bp_control_accaha","BPQ030_2",0,0,0
"bp_control_accaha","BPQ030_2",9.34406338016562,9.00965382708794,10.9557570999528
"bp_control_accaha","BPQ030_2",0,0,0
"bp_control_accaha","BPQ030_2",0,-0.111740592785026,0
"bp_control_accaha","BPQ030_2",0,0,0
"bp_control_accaha","BPQ030_2",0.222250360033062,0,0
"bp_control_accaha","BPQ030_2",0,0,0
"bp_control_accaha","BPQ030_2",0,1.90290829962359,1.71885290490393
"bp_control_accaha","BPQ070_3",0,0,0
"bp_control_accaha","BPQ070_3",0,0,0
"bp_control_accaha","BPQ070_3",0,0,0
"bp_control_accaha","BPQ070_3",0,0,0
"bp_control_accaha","BPQ070_3",0,-0.690061860554509,-0.598418715819258
"bp_control_accaha","BPQ070_3",0,0.0265474266709345,0.238426207307639
"bp_control_accaha","BPQ070_3",21.910239317049,21.1184725279636,23.7541933080854
"bp_control_accaha","BPQ070_3",23.1270508178952,23.6059630306021,25.3734615570161
"bp_control_accaha","BPQ070_3",0,0,0
"bp_control_accaha","BPQ070_3",-0.107229079292087,0,-0.0820415416643394
"bp_control_accaha","BPQ090D_1",0,0,0
"bp_control_accaha","BPQ090D_1",0,0,0
"bp_control_accaha","BPQ090D_1",0,0,0
"bp_control_accaha","BPQ090D_1",0,0,0
"bp_control_accaha","BPQ090D_1",0,0,0
"bp_control_accaha","BPQ090D_1",0,0,0
"bp_control_accaha","BPQ090D_1",0,0.620906848389346,0.807954722212304
"bp_control_accaha","BPQ090D_1",0,-9.3280773741291e-17,0
"bp_control_accaha","BPQ090D_1",0,3.1093591247097e-17,0
"bp_control_accaha","BPQ090D_1",0,0,0
"bp_control_accaha","CDQ010_1",0,0,0
"bp_control_accaha","CDQ010_1",6.40051639201397,5.15331323847087,7.39954873364397
"bp_control_accaha","CDQ010_1",-0.0790101360170009,0,-5.3316461869338e-15
"bp_control_accaha","CDQ010_1",0,0,0
"bp_control_accaha","CDQ010_1",0.24265257366059,0,0
"bp_control_accaha","CDQ010_1",0,0,0
"bp_control_accaha","CDQ010_1",0,0,0
"bp_control_accaha","CDQ010_1",0,0,0
"bp_control_accaha","CDQ010_1",0,0,0
"bp_control_accaha","CDQ010_1",0,1.01841617036552,0.290614079993924
"bp_control_accaha","HSQ590_1",0,0,0
"bp_control_accaha","HSQ590_1",0,0,0
"bp_control_accaha","HSQ590_1",0,0,0
"bp_control_accaha","HSQ590_1",0,0,0
"bp_control_accaha","HSQ590_1",0,0,0
"bp_control_accaha","HSQ590_1",0,0,0
"bp_control_accaha","HSQ590_1",0,0,0
"bp_control_accaha","HSQ590_1",0,0.0337945178216519,0.0189006464867774
"bp_control_accaha","HSQ590_1",0,-2.37450122766089e-15,-0.00011137170471764
"bp_control_accaha","HSQ590_1",0,0,-0.360378782290002
"bp_control_accaha","HUQ010_2",0,0,0.00399516077108711
"bp_control_accaha","HUQ010_2",0,0,0
"bp_control_accaha","HUQ010_2",0,0,0
"bp_control_accaha","HUQ010_2",0,-0.479720171731625,-0.15454897379143
"bp_control_accaha","HUQ010_2",0,0.000527279903768041,3.6050218097986e-15
"bp_control_accaha","HUQ010_2",0,0,0
"bp_control_accaha","HUQ010_2",0,0,0
"bp_control_accaha","HUQ010_2",0,0,0
"bp_control_accaha","HUQ010_2",0,0,0
"bp_control_accaha","HUQ010_2",0,0,0
"bp_control_accaha","HOQ065_1",0,0,0
"bp_control_accaha","HOQ065_1",0,0,-0.063115894007591
"bp_control_accaha","HOQ065_1",0,0,0.0224016277858649
"bp_control_accaha","HOQ065_1",0,0.723766788881116,0
"bp_control_accaha","HOQ065_1",0,-7.25945412404719e-14,0
"bp_control_accaha","HOQ065_1",0,0,0
"bp_control_accaha","HOQ065_1",0,0,0
"bp_control_accaha","HOQ065_1",0,-1.76693746932151,-0.121649218381083
"bp_control_accaha","HOQ065_1",0,3.64441414495822e-15,1.46624762610627e-15
"bp_control_accaha","HOQ065_1",-0.725794252455488,0,0
"bp_control_accaha","MCQ160A_1",0,0,0
"bp_control_accaha","MCQ160A_1",0,0,0
"bp_control_accaha","MCQ160A_1",0,0,0
"bp_control_accaha","MCQ160A_1",-16.601903505036,-19.4098234554809,-21.0978207588451
