"","source","Feature","Gain","Cover","Frequency","Importance"
"44","xgb4","bp_med_recommended_jnc7_No",7.79120677371248e-10,4.36754111159677e-05,0.00402684563758389,0.00402684563758389
"45","xgb4","LBXWBCSI",7.61245215649683e-10,1.16806332054332e-05,0.00201342281879195,0.00201342281879195
"46","xgb4","WHQ070_2",3.81901785740778e-10,0.00195591356602283,0.000671140939597315,0.000671140939597315
"47","xgb4","OSQ060_9",3.25689497167282e-10,0.00031063712944884,0.000671140939597315,0.000671140939597315
"48","xgb4","bp_cat_meds_included_takingantihypertensivemedications",3.08466523480773e-10,7.78708880362215e-06,0.00134228187919463,0.00134228187919463
"49","xgb4","BMXWAIST",2.45328783397879e-10,2.87783716655601e-06,0.000671140939597315,0.000671140939597315
"50","xgb4","IMQ020_3",1.09989543956286e-10,3.89354440181107e-06,0.000671140939597315,0.000671140939597315
"51","xgb5","bp_sys_mean",0.527729368754426,0.685994281230747,0.178637200736648,0.178637200736648
"52","xgb5","bp_dia_mean",0.463936768788118,0.229573303984708,0.191528545119705,0.191528545119705
"53","xgb5","demo_age_cat_65to74",0.00321944186629168,0.0784366591013212,0.158379373848987,0.158379373848987
"54","xgb5","DIQ010_2",0.00205490417451914,0.00113638158830127,0.104972375690608,0.104972375690608
"55","xgb5","demo_gender_Men",0.00192389191721422,0.00176513025207871,0.0920810313075506,0.0920810313075506
"56","xgb5","demo_age_years",0.000775647675347136,0.000623482762070763,0.0773480662983425,0.0773480662983425
"57","xgb5","BMXARML",0.000359194250526904,0.00103843581655705,0.0534069981583794,0.0534069981583794
"58","xgb5","BMXHT",5.33916077551949e-07,0.000644546368897478,0.0699815837937385,0.0699815837937385
"59","xgb5","BMXWT",1.65170007689095e-07,5.47653777494589e-05,0.00736648250460405,0.00736648250460405
"60","xgb5","BMXLEG",3.82458383459467e-08,0.000151657969152348,0.0147329650092081,0.0147329650092081
"61","xgb5","URXUMA",1.82016193226953e-08,0.000136913444373647,0.0128913443830571,0.0128913443830571
"62","xgb5","MCQ053_1",1.2586573821003e-08,0.000132700723008304,0.0128913443830571,0.0128913443830571
"63","xgb5","cc_diabetes_No",6.85752851602483e-09,1.6850885461372e-05,0.00184162062615101,0.00184162062615101
"64","xgb5","LBXRDW",4.03929244121951e-09,9.26798700375459e-05,0.00920810313075507,0.00920810313075507
"65","xgb5","LBXLYPCT",1.93703718962024e-09,2.1063606826715e-05,0.00184162062615101,0.00184162062615101
