"","Year","Feature","Gain_mean","Gain_sd","Cover_mean","Cover_sd","Frequency_mean","Frequency_sd","Count"
"70","pre2013","bp_med_recommended_jnc7_No",2.976292537961e-09,4.94396131164958e-09,0.00037464313312839,0.000481724545747838,0.00158792760782624,0.00100112843814215,2
"71","pre2013","WHD010",6.10787539074201e-08,1.00118680421592e-07,0.000901652511683045,0.000937582430796331,0.00147340803980754,0.000773791314528129,2
"72","pre2013","WHD020",8.00789870762193e-10,3.01603984992145e-12,5.03790763333306e-05,3.27161856311536e-05,0.00143421968694891,0.00100867248398676,3
"73","pre2013","HUQ030_2",3.69191823882966e-09,4.32161343718069e-09,0.000791094883502308,0.000906575340163022,0.00142808803110036,0.00101734395484758,2
"74","pre2013","bp_med_angioten_No",2.21053180138605e-09,6.03599978114874e-10,0.00022023250168463,0.000277434101901594,0.00106920748859129,0.00049246728263779,3
"75","pre2013","MCQ080_1",1.09587602752487e-09,9.97906634695805e-10,5.948052784173e-06,8.92582106776792e-08,0.000793333232672495,2.22431129485871e-05,3
"76","pre2013","BPQ070_4",2.18688329780415e-08,3.06519071908582e-08,0.000280583693936962,0.000379589470985442,0.000714848877677043,8.67147086082677e-06,2
"77","post2013","bp_sys_mean",0.526620850723455,0.0114173290466286,0.503355587851254,0.073715527699255,0.166678022217987,0.0159799802167808,3
"78","post2013","demo_age_years",0.000801275214157089,0.00132541272837966,0.0167394674665884,0.0113109005276276,0.139125827820743,0.0389352432332695,3
"79","post2013","bp_dia_mean",0.461682800902977,0.0126826177495827,0.145286452732147,0.0462826758053575,0.121626253700401,0.0326443263971317,3
"80","post2013","demo_age_cat_65to74",0.00342757788861591,0.00145294918211183,0.0420918975665316,0.0129523223390541,0.0905784558685368,0.0273185341358972,3
"81","post2013","DSDCOUNT_x",0.000124490046557634,0.000208449512753106,0.0355446039100261,0.0221885522280182,0.0680629481411897,0.0357694543503411,3
"82","post2013","LBXMPSI",0.00042816206827652,0.000640043269636678,0.0281170236253721,0.0173211761430486,0.0469536659823225,0.0167057875054051,3
"83","post2013","bp_med_recommended_accaha_No",0.00298788395643735,0.00153646089686326,0.00095879614603621,0.000599268259504065,0.0391322809433313,0.0401074123250621,3
"84","post2013","bp_cat_meds_excluded_SBPof120to130andDBP80mmHg",0.00126680978805932,0.00379993727085683,0.0856641861216467,0.0392774872795106,0.02800373734711,0.0144770302233355,3
"85","post2013","DSDANCNT",2.4973597063607e-06,1.30322026002072e-06,5.22590545040951e-05,1.53553648550288e-05,0.0232337600758653,0.0273972145796048,3
"86","post2013","DR1EXMER",0.000113475815439486,0.000270681527698406,0.0107807927556891,0.0192570394328271,0.0229317231443251,0.0284752902584651,3
"87","post2013","BMXLEG",0.000108630690934471,0.000181588935795317,0.00529989661632479,0.0085470990276932,0.0209741750128972,0.0207717861222989,3
"88","post2013","BMXHT",0.000103607720998649,0.000184369265162058,0.0234627016594803,0.0324878696096612,0.0200428570974856,0.0223768031491633,3
"89","post2013","LBXEOPCT",1.29353679702939e-06,2.19488421949046e-06,0.0104936764964656,0.0225561262271068,0.0185574263500194,0.0261703175667965,3
"90","post2013","BPXPLS",0.000221317512194437,0.000473905465808887,0.000472271759188226,0.000880598951982204,0.0178736928618867,0.0312415820976835,3
"91","post2013","BPXSY2",1.64328020481892e-06,3.4704812052201e-06,0.0335612321874925,0.029609353119362,0.0170820232765025,0.0106995715678183,3
"92","post2013","WHD140",0.000440472339312831,0.00115591894939494,0.0017378363716702,0.00227278587520071,0.0149930779575982,0.0195718078903809,2
"93","post2013","cc_diabetes_No",0.000271111023564158,0.000149997979056261,0.000188436873352337,9.85031523120751e-06,0.0149836299579677,0.00204456223479806,2
"94","post2013","LBDNENO",0.000283393798000101,0.000392686085633517,0.00036813790011493,0.000335975869554731,0.0141312638866077,0.0206952759477217,3
"95","post2013","DR1DAY",0.000256781538757089,0.000489790765129634,9.42003880314263e-05,6.88891046011455e-05,0.0135157348947795,0.0128517385993707,3
"96","post2013","BPXSY3",0.000193687686536558,0.000511764804443536,0.0299446757125353,0.0134885764354307,0.0128305982989549,0.0123537264335115,3
"97","post2013","LBXNEPCT",4.95171262823984e-07,9.13225050755584e-07,0.0034059382834628,0.00522257588330885,0.0125656297767785,0.00764132875027904,3
"98","post2013","LBXRBCSI",4.14729426204332e-05,6.2658888608198e-05,0.00506944924537921,0.00566368071680999,0.0103190860028587,0.00886428387534544,3
"99","post2013","LBXLYPCT",0.000637596290177078,0.00154126479632092,0.000222995907714518,0.000254852870351169,0.0102782557414798,0.0113148438862184,3
"100","post2013","BPXML1",3.39961375121905e-05,9.51604314423027e-05,0.00395255800497595,0.0057906628742511,0.010077330281758,0.00765127493445929,3
"101","post2013","BMXARML",0.00018983037712041,0.000322687254050151,0.000361999258412776,0.000635497678298741,0.00986352387261709,0.0102487456752923,3
"102","post2013","BMXARMC",0.000123698859284666,0.000232321418855606,0.00104812504506072,0.00164773557945684,0.00969557768227684,0.00616830760236089,3
"103","post2013","LBXGH",0.00020479547309647,0.000312408782300599,0.00461400557644007,0.0102438125496326,0.00954467838998909,0.0124605809085755,3
"104","post2013","LBXMC",0.00016037996874507,0.000253696495804891,0.00131396678277281,0.00154992467644313,0.00924730328718919,0.0126957962003487,3
"105","post2013","LBXMCHSI",1.18631112892551e-05,1.30306032033505e-05,0.00088728612397531,0.00162975833543801,0.00896165777960076,0.00610348639582048,3
"106","post2013","bp_cat_meds_excluded_SBP120andDBP80mmHg",3.32718918725723e-08,6.71496247183752e-08,0.0322363743171437,0.0429564704325882,0.00879494384027195,0.0119414618504695,3
"107","post2013","URXUCR",1.41094454282946e-06,2.05667998683252e-06,0.00475061256975491,0.00793289834978656,0.00800606187989814,0.00868495772726853,3
"108","post2013","WHD120",8.21729888860808e-05,0.000214133083264359,0.0026685356874143,0.00331607796249667,0.00765699546746119,0.00458765667067013,3
